time,gFx,gFy,gFz,TgF
3.639856,-0.2532,0.2234,0.7507,0.82
3.658572,-0.2911,0.2300,0.6687,0.76
3.673278,-0.2979,0.2270,0.6682,0.77
3.690394,-0.2757,0.1887,0.7034,0.78
3.727193,-0.1424,0.3341,0.6477,0.74
3.750970,-0.2092,0.2901,0.6752,0.76
3.757102,-0.2134,0.2826,0.6652,0.75
3.775494,-0.2214,0.2540,0.6317,0.72
3.791057,-0.2083,0.2251,0.5802,0.66
3.824144,-0.1899,0.2613,0.5626,0.65
3.844567,-0.1633,0.3195,0.5816,0.68
3.868762,-0.1767,0.3236,0.5975,0.70
3.874135,-0.1804,0.3162,0.5848,0.69
3.907750,-0.2195,0.3568,0.5633,0.70
3.924954,-0.2400,0.4399,0.5179,0.72
3.944637,-0.2899,0.4558,0.5193,0.75
3.974344,-0.2747,0.4385,0.5559,0.76
3.991520,-0.2444,0.4294,0.5310,0.73
4.008459,-0.2410,0.4047,0.4917,0.68
4.024902,-0.2272,0.3886,0.4973,0.67
4.045849,-0.2102,0.4480,0.5173,0.72
4.070771,-0.2346,0.5944,0.5378,0.84
4.092330,-0.3216,0.6831,0.5215,0.92
4.107828,-0.3138,0.6883,0.4846,0.90
4.123542,-0.2393,0.6359,0.4611,0.82
4.145301,-0.2419,0.5690,0.4504,0.76
4.174905,-0.1745,0.5385,0.4900,0.75
4.191348,-0.1860,0.5790,0.4643,0.77
4.207539,-0.2258,0.6557,0.4541,0.83
4.224623,-0.2288,0.6726,0.3812,0.81
4.261365,-0.2046,0.6985,0.3250,0.80
4.275171,-0.1659,0.7121,0.3226,0.80
4.290833,-0.1982,0.7142,0.2926,0.80
4.307458,-0.1246,0.7078,0.2817,0.77
4.323882,-0.2410,0.6435,0.3125,0.75
4.357986,-0.2612,0.7093,0.2737,0.80
4.374332,-0.2740,0.7774,0.3087,0.88
4.390766,-0.2969,0.8637,0.2026,0.94
4.407039,-0.3600,0.9598,0.1579,1.04
4.440788,-0.4660,0.7969,0.2155,0.95
4.459312,-0.2999,0.6836,0.2539,0.79
4.474023,-0.2817,0.6191,0.2439,0.72
4.491150,-0.2784,0.5567,0.2307,0.66
4.507092,-0.2578,0.5299,0.1845,0.62
4.541841,-0.2365,0.5795,0.1820,0.65
4.559385,-0.2290,0.5881,0.1673,0.65
4.574098,-0.2581,0.5921,0.1321,0.66
4.591792,-0.2365,0.5555,0.1488,0.62
4.608380,-0.2894,0.5372,0.1764,0.64
4.642164,-0.2575,0.5939,0.1596,0.67
4.657802,-0.2920,0.6084,0.1796,0.70
4.675671,-0.2959,0.6100,0.2020,0.71
4.693280,-0.2943,0.6017,0.2004,0.70
4.724168,-0.2794,0.6049,0.1466,0.68
4.740983,-0.2838,0.5900,0.1642,0.67
4.758875,-0.2842,0.5711,0.2165,0.67
4.774732,-0.2730,0.5646,0.2624,0.68
4.791545,-0.2537,0.5800,0.2461,0.68
4.825365,-0.2632,0.5485,0.1703,0.63
4.841800,-0.2806,0.5592,0.1657,0.65
4.862511,-0.2535,0.5478,0.1412,0.62
4.875303,-0.2128,0.4954,0.1286,0.55
4.908178,-0.1366,0.3866,0.1214,0.43
4.925060,-0.1359,0.3884,0.1879,0.45
4.942796,-0.1743,0.4353,0.2929,0.55
4.959336,-0.2055,0.5213,0.2952,0.63
4.975023,-0.2209,0.5534,0.2493,0.65
5.008267,-0.2183,0.4581,0.2275,0.56
5.028749,-0.2365,0.4597,0.2148,0.56
5.043954,-0.2668,0.4572,0.2197,0.57
5.062973,-0.2510,0.4815,0.2784,0.61
