time,gFx,gFy,gFz,TgF
5.608091,0.0826,-0.2919,1.0487,1.09
5.629858,0.0755,-0.2939,1.0536,1.10
5.662050,0.0745,-0.3000,1.0677,1.11
5.675618,0.0748,-0.2958,1.0623,1.11
5.692326,0.0780,-0.2932,1.0587,1.10
5.712843,0.0797,-0.2919,1.0579,1.10
5.757134,0.0823,-0.3009,1.0325,1.08
5.758023,0.0823,-0.3009,1.0325,1.08
5.775076,0.0794,-0.2946,1.0391,1.08
5.792725,0.0765,-0.2934,1.0499,1.09
5.828737,0.0787,-0.2941,1.0667,1.11
5.893438,0.0804,-0.2912,1.0623,1.10
5.894282,0.0804,-0.2912,1.0623,1.10
5.894900,0.0804,-0.2912,1.0623,1.10
5.899162,0.0767,-0.2916,1.0594,1.10
5.939807,0.0823,-0.2958,1.0447,1.09
5.944155,0.0787,-0.2976,1.0467,1.09
5.959106,0.0762,-0.2946,1.0457,1.09
5.993131,0.0826,-0.3026,1.0499,1.10
6.008730,0.0806,-0.3024,1.0562,1.10
6.029541,0.0816,-0.3021,1.0601,1.11
6.055978,0.0826,-0.3000,1.0611,1.11
6.075584,0.0846,-0.2985,1.0569,1.10
6.091254,0.0846,-0.2914,1.0587,1.10
6.108000,0.0855,-0.2888,1.0538,1.10
6.129494,0.0818,-0.2927,1.0545,1.10
6.152899,0.0878,-0.2927,1.0511,1.09
6.175586,0.0887,-0.2948,1.0506,1.09
6.193257,0.0867,-0.2981,1.0513,1.10
6.209902,0.0841,-0.2941,1.0529,1.10
6.231163,0.0867,-0.3014,1.0459,1.09
6.259283,0.0878,-0.2956,1.0459,1.09
6.276712,0.0867,-0.2978,1.0506,1.10
6.292567,0.0867,-0.2965,1.0474,1.09
6.331580,0.0838,-0.2956,1.0599,1.10
6.332831,0.0848,-0.3019,1.0621,1.11
6.364251,0.0870,-0.2936,1.0589,1.10
6.377476,0.0855,-0.2960,1.0560,1.10
6.394810,0.0883,-0.2892,1.0589,1.10
6.413562,0.0902,-0.2944,1.0436,1.09
6.470681,0.0860,-0.2965,1.0525,1.10
6.471437,0.0860,-0.2965,1.0525,1.10
6.476829,0.0821,-0.2976,1.0525,1.10
6.510294,0.0875,-0.2927,1.0650,1.11
6.531710,0.0902,-0.2932,1.0638,1.11
6.571124,0.0834,-0.2927,1.0589,1.10
6.571391,0.0834,-0.2927,1.0589,1.10
6.576731,0.0834,-0.2927,1.0589,1.10
6.610900,0.0850,-0.2960,1.0494,1.09
6.632317,0.0855,-0.2965,1.0464,1.09
6.678033,0.0878,-0.2958,1.0464,1.09
6.679217,0.0865,-0.2981,1.0452,1.09
6.694686,0.0911,-0.2951,1.0492,1.09
6.710613,0.0895,-0.2976,1.0499,1.09
6.732248,0.0858,-0.2968,1.0592,1.10
6.776686,0.0914,-0.2936,1.0567,1.10
6.778167,0.0892,-0.2916,1.0557,1.10
6.794405,0.0902,-0.2956,1.0525,1.10
6.812209,0.0885,-0.2953,1.0471,1.09
6.832702,0.0907,-0.2925,1.0476,1.09
6.869460,0.0867,-0.2936,1.0562,1.10
6.870349,0.0867,-0.2936,1.0562,1.10
6.895406,0.0921,-0.2944,1.0555,1.10
6.912841,0.0924,-0.2978,1.0501,1.10
6.932614,0.0887,-0.2981,1.0420,1.09
6.974858,0.0865,-0.2972,1.0452,1.09
6.977990,0.0862,-0.2960,1.0492,1.09
6.995663,0.0867,-0.2934,1.0496,1.09
7.033781,0.0867,-0.2978,1.0674,1.11
7.071234,0.0862,-0.2929,1.0572,1.10
7.072305,0.0885,-0.2956,1.0576,1.10
7.078417,0.0883,-0.2909,1.0564,1.10
7.095650,0.0872,-0.2897,1.0569,1.10
7.133776,0.0904,-0.2985,1.0396,1.09
7.177047,0.0841,-0.2907,1.0597,1.10
7.177955,0.0841,-0.2907,1.0597,1.10
7.181322,0.0821,-0.2951,1.0599,1.10
7.217806,0.0904,-0.2888,1.0618,1.10
7.254301,0.0885,-0.2921,1.0579,1.10
7.255509,0.0850,-0.2929,1.0576,1.10
7.263096,0.0872,-0.2907,1.0574,1.10
7.295691,0.0846,-0.2993,1.0538,1.10
7.313188,0.0855,-0.2972,1.0480,1.09
7.335046,0.0860,-0.2951,1.0462,1.09
7.380238,0.0862,-0.2956,1.0484,1.09
7.381705,0.0860,-0.2936,1.0518,1.10
7.395204,0.0872,-0.2981,1.0523,1.10
7.414222,0.0838,-0.2946,1.0545,1.10
7.434612,0.0831,-0.2909,1.0609,1.10
7.494156,0.0872,-0.2921,1.0552,1.10
7.495320,0.0860,-0.2892,1.0545,1.10
7.498403,0.0870,-0.2932,1.0550,1.10
7.513748,0.0850,-0.2888,1.0499,1.09
7.533879,0.0862,-0.2912,1.0499,1.09
7.575253,0.0826,-0.2972,1.0520,1.10
7.578864,0.0843,-0.2941,1.0471,1.09
7.595768,0.0843,-0.2934,1.0525,1.10
7.613568,0.0862,-0.2981,1.0567,1.10
7.634434,0.0870,-0.2948,1.0562,1.10
7.676298,0.0834,-0.2921,1.0511,1.09
7.681778,0.0829,-0.2925,1.0511,1.09
7.697572,0.0862,-0.2916,1.0511,1.09
7.735172,0.0860,-0.2929,1.0511,1.09
7.772680,0.0858,-0.2939,1.0628,1.11
7.773654,0.0858,-0.2939,1.0628,1.11
7.780037,0.0818,-0.2953,1.0648,1.11
7.797445,0.0769,-0.2939,1.0604,1.10
7.835369,0.0831,-0.2895,1.0594,1.10
7.878983,0.0865,-0.2997,1.0354,1.08
7.879899,0.0865,-0.2997,1.0354,1.08
7.886181,0.0848,-0.2968,1.0379,1.08
7.919031,0.0831,-0.2936,1.0574,1.10
7.930613,0.0809,-0.2941,1.0585,1.10
7.953299,0.0821,-0.2916,1.0597,1.10
7.988386,0.0870,-0.2912,1.0613,1.10
7.989300,0.0870,-0.2912,1.0613,1.10
8.013609,0.0831,-0.2921,1.0543,1.10
8.035307,0.0831,-0.2944,1.0531,1.10
8.067905,0.0809,-0.2944,1.0504,1.09
8.068654,0.0809,-0.2944,1.0504,1.09
8.097776,0.0836,-0.2936,1.0541,1.10
8.114996,0.0823,-0.2976,1.0487,1.09
8.131279,0.0829,-0.2944,1.0508,1.09
8.153243,0.0858,-0.2916,1.0518,1.09
8.192705,0.0823,-0.2929,1.0592,1.10
8.193613,0.0823,-0.2929,1.0592,1.10
8.215086,0.0831,-0.2904,1.0609,1.10
8.231913,0.0841,-0.2865,1.0594,1.10
8.253868,0.0804,-0.2912,1.0564,1.10
8.296433,0.0848,-0.2912,1.0476,1.09
8.297516,0.0848,-0.2912,1.0476,1.09
8.314553,0.0846,-0.2897,1.0543,1.10
8.335746,0.0821,-0.2909,1.0523,1.09
8.372312,0.0821,-0.2965,1.0531,1.10
8.373652,0.0843,-0.2944,1.0569,1.10
8.399170,0.0838,-0.2936,1.0552,1.10
8.421532,0.0843,-0.2941,1.0574,1.10
8.432223,0.0806,-0.2932,1.0545,1.10
8.454697,0.0818,-0.2946,1.0525,1.10
8.492872,0.0841,-0.2936,1.0513,1.09
8.498403,0.0816,-0.2944,1.0508,1.09
8.515467,0.0855,-0.2909,1.0550,1.10
8.554401,0.0818,-0.2948,1.0599,1.10
8.555513,0.0790,-0.2912,1.0616,1.10
8.599848,0.0829,-0.2890,1.0548,1.10
8.600696,0.0829,-0.2890,1.0548,1.10
8.616178,0.0802,-0.2925,1.0601,1.10
8.652747,0.0782,-0.2946,1.0364,1.08
8.688569,0.0790,-0.2944,1.0476,1.09
8.689798,0.0743,-0.2925,1.0469,1.09
8.698930,0.0792,-0.2953,1.0548,1.10
8.739608,0.0809,-0.2914,1.0574,1.10
8.785821,0.0780,-0.2885,1.0572,1.10
8.786521,0.0780,-0.2885,1.0572,1.10
8.787148,0.0780,-0.2885,1.0572,1.10
8.815005,0.0792,-0.2902,1.0496,1.09
8.833105,0.0809,-0.2912,1.0471,1.09
8.854492,0.0782,-0.2956,1.0469,1.09
8.912305,0.0814,-0.3009,1.0536,1.10
8.913102,0.0814,-0.3009,1.0536,1.10
8.913889,0.0814,-0.3009,1.0536,1.10
8.937754,0.0778,-0.2951,1.0513,1.09
8.985162,0.0769,-0.2892,1.0604,1.10
8.985927,0.0769,-0.2892,1.0604,1.10
8.999903,0.0765,-0.2885,1.0599,1.10
9.017728,0.0818,-0.2907,1.0543,1.10
9.033057,0.0829,-0.2914,1.0518,1.09
9.055138,0.0823,-0.2936,1.0504,1.09
9.091743,0.0748,-0.2907,1.0518,1.09
9.099931,0.0785,-0.2914,1.0518,1.09
9.117486,0.0818,-0.2944,1.0523,1.10
9.133520,0.0818,-0.2953,1.0487,1.09
9.155941,0.0785,-0.2960,1.0531,1.10
9.192234,0.0802,-0.2936,1.0579,1.10
9.199865,0.0755,-0.2919,1.0543,1.10
9.217820,0.0773,-0.2944,1.0523,1.10
9.253926,0.0787,-0.2932,1.0482,1.09
9.295836,0.0797,-0.2936,1.0520,1.10
9.296520,0.0797,-0.2936,1.0520,1.10
9.300452,0.0778,-0.2941,1.0508,1.09
9.317764,0.0782,-0.2944,1.0555,1.10
9.355374,0.0755,-0.2916,1.0579,1.10
9.388916,0.0765,-0.2912,1.0548,1.10
9.390202,0.0797,-0.2878,1.0531,1.09
9.400244,0.0774,-0.2919,1.0545,1.10
9.420865,0.0760,-0.2878,1.0609,1.10
9.455735,0.0780,-0.2988,1.0401,1.08
9.490801,0.0713,-0.3005,1.0482,1.09
9.491927,0.0741,-0.2981,1.0525,1.10
9.501110,0.0692,-0.2970,1.0576,1.10
9.534272,0.0748,-0.2941,1.0669,1.11
9.556459,0.0782,-0.2941,1.0677,1.11
9.594791,0.0778,-0.2909,1.0579,1.10
9.595490,0.0778,-0.2909,1.0579,1.10
9.617384,0.0773,-0.2900,1.0531,1.09
9.634208,0.0762,-0.2936,1.0489,1.09
9.655673,0.0765,-0.2960,1.0428,1.09
9.694986,0.0748,-0.2995,1.0487,1.09
9.695806,0.0748,-0.2995,1.0487,1.09
9.718885,0.0738,-0.3019,1.0516,1.10
9.735914,0.0792,-0.2963,1.0550,1.10
9.755821,0.0750,-0.2953,1.0616,1.10
9.794453,0.0787,-0.2919,1.0597,1.10
9.823960,0.0809,-0.2902,1.0585,1.10
9.835268,0.0838,-0.2921,1.0541,1.10
9.856232,0.0826,-0.2939,1.0482,1.09
9.897564,0.0804,-0.2939,1.0499,1.09
9.898486,0.0804,-0.2939,1.0499,1.09
9.921409,0.0834,-0.2956,1.0533,1.10
9.935508,0.0836,-0.2958,1.0552,1.10
9.957093,0.0831,-0.2983,1.0564,1.10
10.000598,0.0836,-0.2990,1.0523,1.10
10.001445,0.0836,-0.2990,1.0523,1.10
10.017830,0.0816,-0.2965,1.0467,1.09
10.034673,0.0818,-0.2968,1.0469,1.09
10.058083,0.0797,-0.2929,1.0501,1.09
10.098827,0.0848,-0.2946,1.0597,1.10
10.100038,0.0850,-0.2934,1.0585,1.10
10.119627,0.0848,-0.2958,1.0623,1.11
10.135172,0.0841,-0.2963,1.0562,1.10
10.156758,0.0838,-0.2925,1.0501,1.09
10.199204,0.0858,-0.2985,1.0447,1.09
10.210450,0.0872,-0.2988,1.0387,1.08
10.220727,0.0904,-0.3061,1.0389,1.09
10.258303,0.0814,-0.2972,1.0525,1.10
10.259024,0.0814,-0.2972,1.0525,1.10
10.296566,0.0806,-0.2944,1.0604,1.10
10.302160,0.0848,-0.2939,1.0567,1.10
10.324708,0.0862,-0.2925,1.0601,1.10
10.357431,0.0846,-0.2941,1.0574,1.10
10.396230,0.0843,-0.2948,1.0482,1.09
10.396898,0.0843,-0.2948,1.0482,1.09
10.403545,0.0834,-0.2944,1.0496,1.09
10.424843,0.0809,-0.2963,1.0462,1.09
10.457499,0.0838,-0.3000,1.0469,1.09
10.495523,0.0855,-0.2963,1.0533,1.10
10.496376,0.0855,-0.2963,1.0533,1.10
10.503271,0.0846,-0.2960,1.0597,1.10
10.536622,0.0831,-0.2939,1.0609,1.10
10.557456,0.0836,-0.2916,1.0579,1.10
10.594632,0.0872,-0.2953,1.0499,1.09
10.595439,0.0872,-0.2953,1.0499,1.09
10.620274,0.0890,-0.2919,1.0494,1.09
10.639422,0.0816,-0.2932,1.0545,1.10
10.657557,0.0836,-0.2914,1.0548,1.10
10.700739,0.0892,-0.2960,1.0548,1.10
10.701803,0.0892,-0.2960,1.0548,1.10
10.720111,0.0862,-0.2976,1.0484,1.09
10.738032,0.0862,-0.2958,1.0476,1.09
10.758204,0.0875,-0.2958,1.0501,1.09
10.794450,0.0880,-0.2953,1.0569,1.10
10.795662,0.0880,-0.2963,1.0552,1.10
10.821338,0.0855,-0.2951,1.0594,1.10
10.842991,0.0850,-0.2958,1.0597,1.10
10.858992,0.0855,-0.2916,1.0560,1.10
10.896471,0.0885,-0.2944,1.0499,1.09
10.897451,0.0885,-0.2944,1.0499,1.09
10.924128,0.0865,-0.2921,1.0436,1.09
10.938066,0.0875,-0.2972,1.0399,1.09
10.958719,0.0875,-0.3021,1.0471,1.09
10.997923,0.0836,-0.2912,1.0616,1.10
10.998653,0.0836,-0.2912,1.0616,1.10
11.021606,0.0865,-0.2941,1.0631,1.11
11.038147,0.0892,-0.2939,1.0574,1.10
11.059448,0.0865,-0.2897,1.0579,1.10
11.095356,0.0853,-0.2948,1.0489,1.09
11.104872,0.0855,-0.2958,1.0464,1.09
11.121675,0.0831,-0.2925,1.0455,1.09
11.138300,0.0870,-0.2951,1.0518,1.10
11.160140,0.0846,-0.3009,1.0499,1.10
11.199761,0.0848,-0.2990,1.0543,1.10
11.205099,0.0843,-0.2953,1.0567,1.10
11.221756,0.0858,-0.2981,1.0589,1.10
11.259342,0.0846,-0.2948,1.0589,1.10
11.295668,0.0865,-0.2916,1.0560,1.10
11.296415,0.0865,-0.2916,1.0560,1.10
11.305161,0.0855,-0.2929,1.0508,1.09
11.338740,0.0887,-0.2944,1.0469,1.09
11.360121,0.0875,-0.2932,1.0467,1.09
11.393982,0.0846,-0.2927,1.0529,1.10
11.394775,0.0846,-0.2927,1.0529,1.10
11.427220,0.0907,-0.2978,1.0574,1.10
11.428473,0.0892,-0.2985,1.0518,1.10
11.460539,0.0843,-0.2956,1.0455,1.09
11.495807,0.0821,-0.2939,1.0531,1.10
