time,gFx,gFy,gFz,TgF
4.320205,-0.4233,0.4036,0.7969,0.99
4.336282,-0.3695,0.4707,0.5662,0.82
4.357755,-0.2209,0.4087,0.4084,0.62
4.378603,-0.2207,0.4248,0.4154,0.63
4.403576,-0.2244,0.3221,0.4020,0.56
4.421298,-0.2549,0.3397,0.3497,0.55
4.437803,-0.2974,0.3463,0.3250,0.56
4.458176,-0.3129,0.3568,0.3817,0.61
4.479194,-0.2679,0.3866,0.4587,0.66
4.504803,-0.2260,0.4148,0.4868,0.68
4.521385,-0.2808,0.4411,0.4930,0.72
4.537953,-0.3323,0.4646,0.5291,0.78
4.558127,-0.3211,0.4774,0.5291,0.78
4.580476,-0.2817,0.4681,0.5135,0.75
4.604532,-0.3020,0.4693,0.5235,0.77
4.621395,-0.3334,0.4930,0.5196,0.79
4.658230,-0.3241,0.5587,0.4968,0.81
4.679208,-0.3057,0.5631,0.4863,0.80
4.687814,-0.3055,0.5524,0.4841,0.80
4.704954,-0.2899,0.5441,0.5718,0.84
4.721981,-0.2542,0.5465,0.6048,0.85
4.758023,-0.2332,0.4930,0.6295,0.83
4.782504,-0.2190,0.6315,0.6408,0.93
4.783135,-0.2190,0.6315,0.6408,0.93
4.804706,-0.3815,0.7738,0.4651,0.98
4.821597,-0.3949,0.8265,0.3639,0.99
4.864727,-0.3043,0.6538,0.2109,0.75
4.865286,-0.3043,0.6538,0.2109,0.75
4.888343,-0.2637,0.5890,0.2681,0.70
4.905894,-0.2624,0.5289,0.3370,0.68
4.938548,-0.2327,0.5670,0.1845,0.64
4.958616,-0.2619,0.5189,0.1564,0.60
4.982239,-0.2786,0.4905,0.0936,0.57
4.988918,-0.2976,0.4632,0.0904,0.56
5.021346,-0.2493,0.4854,0.1217,0.56
5.038783,-0.2393,0.5103,0.1512,0.58
5.059136,-0.2703,0.5299,0.1771,0.62
5.082326,-0.3062,0.5739,0.1787,0.67
5.088767,-0.3243,0.5900,0.1647,0.69
5.121647,-0.3306,0.5890,0.1442,0.69
5.139541,-0.3514,0.5800,0.1429,0.69
5.159365,-0.3043,0.5744,0.1581,0.67
5.183830,-0.2903,0.5546,0.1554,0.64
5.205572,-0.2840,0.5079,0.1940,0.61
5.222197,-0.2840,0.5079,0.1940,0.61
5.238978,-0.2915,0.4966,0.1603,0.60
5.259843,-0.2869,0.5511,0.1373,0.64
5.286249,-0.2668,0.5475,0.1987,0.64
5.304933,-0.2906,0.5235,0.2038,0.63
5.322345,-0.2908,0.5201,0.1395,0.61
5.338740,-0.3172,0.5243,0.1512,0.63
5.358915,-0.3211,0.5420,0.1810,0.66
5.382802,-0.2940,0.5380,0.1945,0.64
5.406015,-0.3187,0.4803,0.1840,0.61
5.422524,-0.3370,0.4964,0.1393,0.62
5.439725,-0.3751,0.5235,0.0833,0.65
5.460463,-0.4122,0.5304,0.0645,0.67
5.482896,-0.3565,0.5047,0.0892,0.62
5.505846,-0.1864,0.5974,0.0633,0.63
5.522942,-0.3218,0.8940,-0.0309,0.95
5.540188,-0.4096,0.8925,-0.0801,0.99
5.560186,-0.4069,1.0636,0.0111,1.14
5.586930,-0.3318,1.0971,0.2666,1.18
5.605968,-0.2002,1.0047,0.4052,1.10
5.622881,-0.0736,0.9202,0.4804,1.04
5.639660,-0.0350,0.8473,0.4651,0.97
5.659770,-0.0252,0.7330,0.3614,0.82
5.688931,-0.0366,0.5856,0.2742,0.65
5.706994,-0.0780,0.5082,0.2183,0.56
5.723697,-0.1275,0.4991,0.2033,0.55
5.762405,-0.1682,0.4868,0.2828,0.59
5.763031,-0.1682,0.4868,0.2828,0.59
5.782367,-0.1767,0.4460,0.3233,0.58
5.806130,-0.1804,0.4282,0.3377,0.57
5.822938,-0.1628,0.4331,0.3495,0.58
5.843843,-0.1559,0.5103,0.3578,0.64
5.872495,-0.1864,0.5404,0.3842,0.69
5.889324,-0.2134,0.5448,0.4047,0.71
5.905943,-0.1904,0.5328,0.4169,0.70
5.923830,-0.1892,0.5453,0.4453,0.73
5.961969,-0.2221,0.4844,0.4401,0.69
5.990604,-0.2470,0.4798,0.4438,0.70
5.991214,-0.2470,0.4798,0.4438,0.70
6.007685,-0.2608,0.4387,0.4636,0.69
6.044209,-0.2466,0.3996,0.4814,0.67
6.061693,-0.2324,0.3931,0.4990,0.68
6.087602,-0.2400,0.4327,0.4585,0.67
6.091586,-0.2424,0.4327,0.4574,0.67
6.108728,-0.2479,0.4529,0.4837,0.71
6.141323,-0.2532,0.4932,0.5154,0.76
6.162827,-0.2654,0.5096,0.5117,0.77
6.190131,-0.3101,0.5348,0.4739,0.78
6.194567,-0.3123,0.5289,0.4719,0.77
6.225074,-0.3172,0.5199,0.4961,0.79
6.242280,-0.3194,0.5369,0.5322,0.82
6.261926,-0.2931,0.4968,0.5963,0.83
6.292062,-0.2402,0.5015,0.6217,0.83
