time,gFx,gFy,gFz,TgF
4.505441,0.1889,0.7190,0.1696,0.76
4.526193,0.1948,0.7170,0.1679,0.76
4.552108,0.2089,0.7044,0.1682,0.75
4.553558,0.2077,0.7021,0.1694,0.75
4.572329,0.1815,0.7212,0.1701,0.76
4.605911,0.1997,0.7163,0.2016,0.77
4.627690,0.2096,0.7156,0.1864,0.77
4.655263,0.2033,0.7168,0.1537,0.76
4.672588,0.1953,0.7105,0.1478,0.75
4.690445,0.1924,0.7166,0.2069,0.77
4.706108,0.2150,0.6992,0.1810,0.75
4.726973,0.1899,0.7144,0.1684,0.76
4.752475,0.2013,0.7130,0.1535,0.76
4.758410,0.2069,0.7112,0.1566,0.76
4.789402,0.2001,0.7224,0.1845,0.77
4.805669,0.1948,0.7275,0.1833,0.78
4.828020,0.2138,0.7056,0.1640,0.76
4.852167,0.2162,0.7188,0.1738,0.77
4.872210,0.2054,0.7144,0.1727,0.76
4.890357,0.2033,0.7168,0.1747,0.77
4.906627,0.2047,0.7114,0.1612,0.76
4.927958,0.2094,0.6997,0.1735,0.75
4.959039,0.1857,0.7142,0.1527,0.75
4.973819,0.1845,0.7268,0.1591,0.77
4.990232,0.1945,0.7202,0.1831,0.77
5.030821,0.1992,0.7332,0.2113,0.79
5.060937,0.1982,0.7166,0.1654,0.76
5.061765,0.1982,0.7166,0.1654,0.76
5.073500,0.2054,0.7163,0.1717,0.76
5.107267,0.2164,0.7081,0.1673,0.76
5.128248,0.2021,0.7095,0.1945,0.76
5.169447,0.1948,0.7119,0.1808,0.76
5.170250,0.1948,0.7119,0.1808,0.76
5.173655,0.2006,0.7137,0.1789,0.76
5.209185,0.1994,0.7144,0.1701,0.76
5.228087,0.2052,0.7188,0.1920,0.77
5.261179,0.2018,0.7207,0.1720,0.77
5.262039,0.2018,0.7207,0.1720,0.77
5.288805,0.2094,0.7156,0.1806,0.77
5.306078,0.2096,0.7097,0.1815,0.76
5.322418,0.2011,0.7142,0.1624,0.76
5.341769,0.1877,0.7207,0.1703,0.76
5.355830,0.1924,0.7198,0.1694,0.76
5.389806,0.2108,0.7146,0.1527,0.76
5.406532,0.2142,0.7166,0.1787,0.77
5.430553,0.2096,0.7212,0.1776,0.77
5.451253,0.2094,0.7193,0.1493,0.76
5.459206,0.2082,0.7195,0.1522,0.76
5.489489,0.2047,0.7137,0.1857,0.77
5.506266,0.1931,0.7109,0.1677,0.76
5.528100,0.1848,0.7174,0.1556,0.76
5.545598,0.1894,0.7195,0.1620,0.76
5.572797,0.1899,0.7254,0.1887,0.77
5.589939,0.1948,0.7181,0.1535,0.76
5.606489,0.2059,0.7219,0.1633,0.77
5.627470,0.2147,0.7193,0.1776,0.77
5.644589,0.2123,0.7127,0.1671,0.76
5.672833,0.2030,0.7179,0.1615,0.76
5.689590,0.2094,0.7125,0.1729,0.76
