time,gFx,gFy,gFz,TgF
3.869113,-0.4206,0.6811,0.0679,0.80
3.892794,-0.3800,0.7117,0.1178,0.82
3.901992,-0.3964,0.7584,0.1554,0.87
3.915882,-0.4020,0.8004,0.1649,0.91
3.948733,-0.3903,0.8625,0.1041,0.95
3.965656,-0.3681,0.8593,0.1134,0.94
3.987181,-0.3104,0.8493,0.1286,0.91
4.010826,-0.2300,0.8116,0.0946,0.85
4.015372,-0.2131,0.8175,0.0894,0.85
4.048700,-0.1479,0.7415,0.0936,0.76
4.065031,-0.1433,0.6706,0.1612,0.70
4.087978,-0.1105,0.6515,0.2414,0.70
4.118872,-0.0997,0.6154,0.2791,0.68
4.132670,-0.1088,0.6117,0.2421,0.67
4.152767,-0.1852,0.6200,0.2172,0.68
4.187289,-0.3006,0.6282,0.2321,0.73
4.224294,-0.2894,0.5685,0.3810,0.74
4.225749,-0.2786,0.5583,0.3893,0.74
4.234716,-0.2529,0.5264,0.3870,0.70
4.267098,-0.1985,0.4875,0.3685,0.64
4.286960,-0.2128,0.4329,0.4274,0.64
4.303117,-0.2383,0.4373,0.4164,0.65
4.315866,-0.2654,0.4602,0.3944,0.66
4.334778,-0.2421,0.4064,0.3883,0.61
4.369831,-0.2449,0.3619,0.4767,0.65
4.385813,-0.2226,0.3016,0.5103,0.63
4.399823,-0.2192,0.3430,0.4977,0.64
4.416506,-0.2402,0.3148,0.4780,0.62
4.450662,-0.1628,0.2982,0.4807,0.59
4.467891,-0.1300,0.2892,0.5127,0.60
4.487582,-0.1545,0.3146,0.5440,0.65
4.510331,-0.2011,0.3139,0.5902,0.70
4.533224,-0.2713,0.3421,0.6128,0.75
4.549942,-0.2994,0.2682,0.6527,0.77
4.567622,-0.2833,0.1580,0.6792,0.75
4.589237,-0.3414,0.3082,0.6576,0.80
4.633602,-0.2458,0.2424,0.7221,0.80
4.634630,-0.2458,0.2424,0.7221,0.80
4.650820,-0.2838,0.1918,0.6965,0.78
4.671921,-0.2994,0.1846,0.6769,0.76
4.697013,-0.2728,0.1826,0.6780,0.75
4.716764,-0.2764,0.1892,0.7223,0.80
4.734688,-0.2854,0.1584,0.7717,0.84
4.767800,-0.3297,0.1787,0.7537,0.84
4.789962,-0.3221,0.2137,0.7402,0.84
4.815017,-0.2925,0.2249,0.7239,0.81
4.818366,-0.2906,0.2270,0.7239,0.81
4.834038,-0.2957,0.2283,0.7106,0.80
4.868258,-0.2822,0.2351,0.7223,0.81
4.888951,-0.2845,0.2412,0.7270,0.82
4.913634,-0.2791,0.2417,0.7195,0.81
4.916750,-0.2759,0.2400,0.7188,0.81
4.951884,-0.3316,0.2540,0.7561,0.86
4.968083,-0.3421,0.2713,0.7598,0.88
4.990172,-0.3495,0.2985,0.7622,0.89
5.017306,-0.3321,0.3046,0.6906,0.82
5.035136,-0.3238,0.2933,0.6904,0.82
5.051698,-0.2724,0.2576,0.7263,0.82
5.068774,-0.3101,0.3009,0.7735,0.89
5.091048,-0.3691,0.3319,0.7466,0.90
